flid,uid,time,timestr,buid,x,y,deck,modelid,foid,flid:1,oid,height,width,ocr
21,pmpeis,1657277676,"Jul 08, 2022 13:54:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695772776424,11.913480944932,4,1,68,21,59,81.329345703125,124.72511291504,
21,pmpeis,1657277676,"Jul 08, 2022 13:54:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695772776424,11.913480944932,4,1,69,21,59,91.072723388672,126.57025146484,
21,pmpeis,1657277676,"Jul 08, 2022 13:54:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695772776424,11.913480944932,4,1,70,21,59,74.399566650391,104.41165161133,
21,pmpeis,1657277676,"Jul 08, 2022 13:54:36",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695772776424,11.913480944932,4,1,71,21,59,77.865386962891,117.74166870117,
22,pmpeis,1657280718,"Jul 08, 2022 14:45:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695503293974,11.913284808397,4,1,72,22,18,210.30932617188,190.53701782227,
22,pmpeis,1657280718,"Jul 08, 2022 14:45:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695503293974,11.913284808397,4,1,73,22,18,88.083374023438,161.44369506836,
22,pmpeis,1657280718,"Jul 08, 2022 14:45:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695503293974,11.913284808397,4,1,74,22,49,146.07952880859,422.88549804688,
22,pmpeis,1657280718,"Jul 08, 2022 14:45:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695503293974,11.913284808397,4,1,75,22,52,279.64791870117,174.39511108398,
23,pmpeis,1657280872,"Jul 08, 2022 14:47:52",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695300464106,11.912088543177,4,1,76,23,12,119.12445068359,122.13153076172,
24,pmpeis,1657281062,"Jul 08, 2022 14:51:02",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695143144751,11.911937333643,4,1,77,24,43,170.89346313477,272.04272460938,
24,pmpeis,1657281062,"Jul 08, 2022 14:51:02",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695143144751,11.911937333643,4,1,78,24,43,194.32559204102,272.30139160156,
25,pmpeis,1657525101,"Jul 11, 2022 10:38:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.6949028641,11.911514215171,4,1,79,25,10,219.67822265625,147.05613708496,
25,pmpeis,1657525101,"Jul 11, 2022 10:38:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.6949028641,11.911514215171,4,1,80,25,10,205.34512329102,163.19514465332,
25,pmpeis,1657525101,"Jul 11, 2022 10:38:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.6949028641,11.911514215171,4,1,81,25,10,90.155212402344,110.45559692383,
25,pmpeis,1657525101,"Jul 11, 2022 10:38:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.6949028641,11.911514215171,4,1,82,25,53,142.83909606934,98.344161987305,519
26,pmpeis,1657526319,"Jul 11, 2022 10:58:39",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694980628482,11.911554448307,4,1,83,26,33,68.454254150391,52.155578613281,
26,pmpeis,1657526319,"Jul 11, 2022 10:58:39",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694980628482,11.911554448307,4,1,84,26,33,77.671844482422,54.967529296875,
26,pmpeis,1657526319,"Jul 11, 2022 10:58:39",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694980628482,11.911554448307,4,1,85,26,33,72.66357421875,50.915893554688,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,86,27,12,131.03526306152,79.702056884766,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,87,27,12,28.122375488281,92.818115234375,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,88,27,15,45.024719238281,90.336273193359,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,89,27,15,47.535522460938,87.537750244141,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,90,27,15,46.893310546875,86.315093994141,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,91,27,15,53.981018066406,97.774475097656,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,92,27,15,51.800079345703,99.767395019531,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,93,27,49,28.357543945312,144.16192626953,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,94,27,49,27.279235839844,141.40759277344,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,95,27,49,28.304626464844,136.0285949707,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,96,27,49,25.746459960938,141.13195800781,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,97,27,49,26.552856445312,145.8157043457,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,98,27,50,28.775329589844,110.27728271484,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,99,27,50,25.101531982422,108.85488891602,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,100,27,53,54.0224609375,64.897705078125,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,101,27,53,53.058380126953,69.488037109375,
27,pmpeis,1657526498,"Jul 11, 2022 11:01:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695298672318,11.912288032472,4,1,102,27,53,58.502624511719,70.995452880859,E
28,pmpeis,1657526602,"Jul 11, 2022 11:03:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695244739447,11.912302114069,4,1,103,28,35,152.57202148438,81.091583251953,
28,pmpeis,1657526602,"Jul 11, 2022 11:03:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695244739447,11.912302114069,4,1,104,28,49,26.147369384766,83.560302734375,
28,pmpeis,1657526602,"Jul 11, 2022 11:03:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695244739447,11.912302114069,4,1,105,28,49,26.298217773438,97.157409667969,
28,pmpeis,1657526602,"Jul 11, 2022 11:03:22",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695244739447,11.912302114069,4,1,106,28,49,26.08479309082,85.762237548828,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,107,29,6,37.29216003418,39.214050292969,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,108,29,6,36.337051391602,43.616470336914,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,109,29,6,32.989608764648,36.198959350586,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,110,29,49,26.9306640625,149.40686035156,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,111,29,49,26.595916748047,147.19485473633,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,112,29,50,25.047607421875,134.12936401367,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,113,29,50,25.082244873047,126.03414916992,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,114,29,50,32.679809570312,107.75234985352,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,115,29,50,30.553680419922,107.6198425293,
29,pmpeis,1657526756,"Jul 11, 2022 11:05:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695222162873,11.912380233407,4,1,116,29,52,56.378570556641,69.996246337891,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,117,30,12,58.372863769531,81.147155761719,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,118,30,12,63.938690185547,92.768768310547,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,119,30,15,43.729858398438,73.412078857422,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,120,30,15,50.881744384766,78.138549804688,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,121,30,49,27.223114013672,100.19134521484,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,122,30,49,25.237152099609,96.318878173828,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,123,30,49,27.491302490234,112.08749389648,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,124,30,49,24.541900634766,95.668060302734,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,125,30,50,25.463989257812,78.550598144531,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,126,30,50,26.290191650391,117.88571166992,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,127,30,50,25.11962890625,71.096893310547,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,128,30,50,25.973617553711,125.3171081543,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,129,30,50,26.667236328125,91.836212158203,
30,pmpeis,1657527201,"Jul 11, 2022 11:13:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695268032723,11.912173032761,4,1,130,30,50,23.797912597656,115.02572631836,
